,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.7884,0.0,0.5349,0.788,0.7842,0.6104,0.6142,0.212
lightgbm,Light Gradient Boosting Machine,0.7787,0.0,0.5713,0.7748,0.7744,0.5942,0.5963,0.058
rf,Random Forest Classifier,0.7753,0.0,0.5759,0.771,0.7698,0.5854,0.5887,0.065
et,Extra Trees Classifier,0.774,0.0,0.5762,0.77,0.7685,0.5832,0.5866,0.043
ada,Ada Boost Classifier,0.7614,0.0,0.556,0.7753,0.7387,0.5418,0.58,0.022
lda,Linear Discriminant Analysis,0.7563,0.0,0.5228,0.7639,0.7481,0.5451,0.559,0.004
ridge,Ridge Classifier,0.7283,0.0,0.4678,0.7256,0.7048,0.4744,0.4957,0.003
qda,Quadratic Discriminant Analysis,0.7051,0.0,0.5583,0.7305,0.7073,0.4832,0.4949,0.004
dt,Decision Tree Classifier,0.7012,0.0,0.4861,0.7014,0.7004,0.4627,0.4634,0.004
lr,Logistic Regression,0.683,0.0,0.4384,0.6823,0.6668,0.3966,0.4051,0.426
nb,Naive Bayes,0.634,0.0,0.3765,0.7058,0.6433,0.3859,0.4092,0.003
knn,K Neighbors Classifier,0.5675,0.0,0.3489,0.5593,0.5611,0.2123,0.2138,0.2
svm,SVM - Linear Kernel,0.5594,0.0,0.3298,0.5542,0.5064,0.1715,0.2018,0.008
